byte,count
cbfb,14
6371,21
f00e,13
e65c,15
bebd,13
5d7a,14
2b45,17
a3db,20
e1fb,20
4530,17
8c6e,15
8be6,16
5742,21
8c26,16
c7e8,17
f1e6,9
c005,16
56bb,18
17c1,15
9faa,18
7167,6
5f00,18
c5b8,10
87db,10
aaff,15
ce48,8
b3e2,13
8ab2,15
c161,14
745d,14
03ff,19
5e26,19
424b,18
bf69,15
07fc,16
1253,19
c0e9,15
49ec,12
b208,13
cb6b,12
3b50,17
4831,13
ebee,16
c4c0,19
e477,19
67e8,11
ef99,14
affa,16
9090,21
17de,16
df60,16
c7e2,15
135d,22
e078,14
da5e,16
57d6,19
22bc,11
ac7d,15
f1b2,16
688b,14
c2b5,15
3f02,12
4628,24
520f,20
d83f,12
1c61,17
1b4b,19
4fa3,16
4c4c,12
6b70,10
2da0,19
00b6,18
39b6,11
3970,17
04c9,10
4bdb,13
3b00,18
c003,12
0522,14
9833,13
adba,20
6642,946
6f15,20
faad,15
c5d3,17
a20d,15
88ce,12
865b,12
ca45,12
fa5e,15
e826,14
cf08,19
bd24,19
1b79,19
bc84,17
6fb8,16
7ddb,16
1284,17
d9f7,12
3448,15
9e10,21
8857,10
2ac8,16
20da,13
dc08,13
135c,18
8272,12
ad2e,14
8cb0,14
972f,10
4abd,14
47a0,17
be8f,19
62e9,19
d241,16
9efd,13
215c,21
c563,19
b1f3,16
3268,19
a3b2,15
4dfd,13
cfdc,18
4588,15
a5f0,20
c3c0,8
2db8,13
c2e3,10
874a,13
607d,12
5a80,9
0bb7,19
e2ad,20
1633,22
2718,987
e8fa,17
5a8b,19
4717,14
aad6,13
f20e,14
54ce,19
68f7,25
0c74,20
dd43,13
e930,16
28ce,17
da20,16
9cb6,11
8c01,20
2c25,11
1172,13
f488,11
9ea6,15
f1fc,17
7ad8,13
2df1,10
f300,17
f00d,16
5f11,10
e52b,12
b540,13
b60c,17
9dda,17
e0ab,15
284d,16
04d0,10
13a2,15
bb16,18
996d,11
4108,11
c45d,16
d8ad,16
1af3,15
b6bb,8
0f56,9
66ca,18
edcd,19
7d45,17
c4ce,16
55a3,7
d7e1,14
75bd,14
3109,15
da68,20
61a6,20
885d,12
94dc,13
975e,13
eba3,13
98b2,8
0163,13
70b5,18
74f2,12
68b5,20
b503,4
5c35,15
1cab,16
68fc,7
0d8c,18
e12b,14
0d74,25
8608,19
b9a2,18
cdc1,10
9b94,21
8104,13
b05e,13
f66d,13
3595,16
4dd1,15
15ae,14
b45c,15
886a,20
1cd7,13
2185,14
e5da,16
9e82,18
0e94,10
8417,16
46e3,18
876b,11
dfcd,20
1643,11
407a,18
1fa9,14
062a,15
99e1,10
f26f,14
23e5,15
f978,18
666c,13
1fb6,16
e404,15
1c95,12
63a9,18
81f8,15
619f,12
ee54,11
066e,17
2e5e,20
62af,10
e4e2,11
6ae8,21
ddae,16
4aae,9
d734,18
edf8,16
54c3,14
3b86,19
a725,20
5618,16
38e9,20
ddf0,13
22d1,13
2a33,15
763f,12
0fea,16
3ce9,19
1dac,14
41df,18
901a,11
8873,12
0769,12
f268,10
d6b0,15
c960,15
c3e6,13
bf6f,17
0765,15
cf3a,8
e4b3,12
1fc5,16
0967,10
edaf,19
07cb,16
e746,13
9537,12
cbf0,15
287e,14
ab69,12
c301,7
73c7,14
648b,14
3843,14
61b3,10
36b4,21
64c1,16
929d,21
1a94,17
65fe,19
ebf3,20
b93e,11
e4ac,13
e582,22
cc4e,16
f1c0,12
a215,18
463b,16
d8a4,17
1d01,10
9dc2,16
7065,21
8957,21
1297,12
ae34,12
88eb,13
6f13,15
b67d,14
d517,15
e04b,9
c00a,16
e395,11
bae2,8
e8cb,12
d174,12
6e1e,14
7493,11
4b53,11
75f6,16
e4cd,13
11cb,16
19c2,10
913e,12
3f7e,8
7e80,18
6292,11
f2f0,18
8518,12
8fdb,16
a8b6,19
ed8b,11
7b96,20
a32d,11
6295,7
2aac,12
c485,10
fef0,13
dafc,14
efde,15
dca9,10
83e3,16
9d79,19
5712,10
5a3d,16
a6e4,14
5c06,18
d1d3,18
1468,13
eaae,16
9dd9,13
3286,19
c561,14
9dca,16
9e1e,11
f4cb,25
7822,14
5600,16
7e4e,14
601d,970
5efb,13
a034,20
2407,17
f2a8,14
c9b3,20
b96a,16
0ed8,11
048b,20
58c2,21
f4c4,16
eee1,12
5ba5,17
0a66,13
c391,18
0c0c,15
ea53,14
0095,14
3780,14
ed6b,15
3be3,14
80aa,19
d23e,15
db28,8
a613,13
b82e,20
401e,11
55ab,16
400f,11
f4c9,17
aed0,14
ff40,17
f148,16
8c9c,16
cf09,15
fc04,12
4692,19
e958,16
49bd,9
432f,9
3adc,18
eae1,23
c52b,18
d1ef,12
8945,8
6ff4,16
e919,13
c938,11
82f2,15
7d43,22
